,FrameNumber,sigmaX,sigmaY
0,0.0,6.129951999999999,2.666545
1,1.0,6.074699,2.700024
2,2.0,6.137465,2.714974
3,3.0,6.283947,2.7094810000000003
4,4.0,6.582914000000001,2.9872294999999998
5,5.0,6.376149,2.8037650000000003
6,6.0,6.154871,2.658805
7,7.0,6.1610655,2.6426955000000003
8,8.0,6.189895,2.6547609999999997
9,9.0,6.123327,2.667093
10,10.0,6.1610655,2.6426955000000003
11,11.0,6.189895,2.6547609999999997
12,12.0,5.975422,2.559328
13,13.0,6.1610655,2.6426955000000003
14,14.0,6.189895,2.6547609999999997
15,15.0,6.012485,2.5638615
16,16.0,5.9168535,2.5078945
17,17.0,5.904767,2.4911235
18,18.0,6.0004335,2.5469904999999997
19,19.0,5.9168535,2.5078945
20,20.0,5.904767,2.4911235
21,21.0,5.945296,2.517713
22,22.0,5.9168535,2.5078945
23,23.0,5.904767,2.4911235
24,24.0,5.948799,2.512781
25,25.0,7.8251800000000005,4.220669
26,26.0,7.9097565,4.253068
27,27.0,5.7325325,2.423213
28,28.0,7.8251800000000005,4.220669
29,29.0,7.9097565,4.253068
30,30.0,5.817056000000001,2.411722
31,31.0,5.843045,2.4461085000000002
32,32.0,5.711697,2.414246
33,33.0,5.721787,2.3860419999999998
34,34.0,5.843045,2.4461085000000002
35,35.0,5.711697,2.414246
36,36.0,5.709986,2.393862
37,37.0,5.843045,2.4461085000000002
38,38.0,5.711697,2.414246
39,39.0,5.616637,2.336826
40,40.0,5.655252,2.3488105
41,41.0,5.602582,2.324909
42,42.0,5.600464,2.3289720000000003
43,43.0,5.655252,2.3488105
44,44.0,5.602582,2.324909
45,45.0,5.5812040000000005,2.3201080000000003
46,46.0,5.655252,2.3488105
47,47.0,5.602582,2.324909
48,48.0,5.4302765,2.2614735
49,49.0,5.475002,2.253526
50,50.0,5.4128865,2.2372815
51,51.0,5.514936499999999,2.2215475
52,52.0,5.475002,2.253526
53,53.0,5.4128865,2.2372815
54,54.0,5.3353945,2.1581605
55,55.0,5.475002,2.253526
56,56.0,5.4128865,2.2372815
57,57.0,5.505955,2.2489619999999997
58,58.0,6.575696000000001,3.973732
59,59.0,7.2400910000000005,3.616689
60,60.0,5.21715,2.132329
61,61.0,6.575696000000001,3.973732
62,62.0,7.2400910000000005,3.616689
63,63.0,5.1984010000000005,2.1096465
64,64.0,5.240958,2.1629959999999997
65,65.0,5.3363755,2.169153
66,66.0,5.1984010000000005,2.1096465
67,67.0,5.240958,2.1629959999999997
68,68.0,5.268383,2.151222
69,69.0,5.1984010000000005,2.1096465
70,70.0,5.240958,2.1629959999999997
71,71.0,5.0403275,2.05599
72,72.0,5.0830865,2.0621964999999998
73,73.0,5.1096734999999995,2.083169
74,74.0,5.1134900000000005,2.073105
75,75.0,5.0830865,2.0621964999999998
76,76.0,5.1096734999999995,2.083169
77,77.0,5.069708,2.035821
78,78.0,5.0830865,2.0621964999999998
79,79.0,5.1096734999999995,2.083169
80,80.0,5.093806,2.062087
81,81.0,5.056477,2.037417
82,82.0,5.113173000000001,2.0707715
83,83.0,4.951288,1.992429
84,84.0,5.056477,2.037417
85,85.0,5.113173000000001,2.0707715
86,86.0,4.87697,1.9508880000000002
87,87.0,5.056477,2.037417
88,88.0,5.113173000000001,2.0707715
89,89.0,4.9471050000000005,2.0039599999999997
90,90.0,4.824509,1.9531295000000002
91,91.0,4.951732,1.991687
92,92.0,4.904756000000001,1.9597094999999998
93,93.0,4.824509,1.9531295000000002
94,94.0,4.951732,1.991687
95,95.0,4.791354,1.916407
96,96.0,4.824509,1.9531295000000002
97,97.0,4.951732,1.991687
98,98.0,4.689509,1.866714
99,99.0,3.495571,1.385529
100,100.0,4.2374045,1.6939045
101,101.0,4.7623985,1.8991655
102,102.0,3.495571,1.385529
103,103.0,4.2374045,1.6939045
104,104.0,4.779418,1.8875165000000003
105,105.0,3.495571,1.385529
106,106.0,4.2374045,1.6939045
107,107.0,4.6514370000000005,1.8469689999999999
108,108.0,3.1240740000000002,1.277759
109,109.0,3.107182,1.272565
110,110.0,4.601469,1.826655
111,111.0,3.1240740000000002,1.277759
112,112.0,3.107182,1.272565
113,113.0,4.585468,1.82562
114,114.0,4.680307,1.850524
115,115.0,4.6287865,1.812109
116,116.0,4.707884,1.855447
117,117.0,4.680307,1.850524
118,118.0,4.6287865,1.812109
119,119.0,4.516037,1.7897615000000002
120,120.0,4.680307,1.850524
121,121.0,4.6287865,1.812109
122,122.0,4.542906500000001,1.7853470000000002
123,123.0,4.5587675,1.7914315
124,124.0,4.4928735,1.7830825000000001
125,125.0,4.4273045,1.7644205
126,126.0,4.5587675,1.7914315
127,127.0,4.4928735,1.7830825000000001
128,128.0,4.505988,1.7674945
129,129.0,4.5587675,1.7914315
130,130.0,4.4928735,1.7830825000000001
131,131.0,4.2808295,1.6708969999999999
132,132.0,4.255139,1.6855650000000002
133,133.0,4.27289,1.6833939999999998
134,134.0,4.277923,1.685446
135,135.0,4.255139,1.6855650000000002
136,136.0,4.27289,1.6833939999999998
137,137.0,4.31801,1.7204115
138,138.0,4.255139,1.6855650000000002
139,139.0,4.27289,1.6833939999999998
140,140.0,4.390421,1.724477
141,141.0,4.303761,1.694343
142,142.0,4.421267,1.754178
143,143.0,4.087116,1.6435395000000002
144,144.0,4.303761,1.694343
145,145.0,4.421267,1.754178
146,146.0,4.185644,1.6582530000000002
147,147.0,4.303761,1.694343
148,148.0,4.421267,1.754178
149,149.0,4.237237,1.671788
150,150.0,4.177887,1.6483919999999999
151,151.0,4.140443,1.628409
152,152.0,4.209864,1.6497964999999999
153,153.0,4.177887,1.6483919999999999
154,154.0,4.140443,1.628409
155,155.0,4.0525044999999995,1.6099655
156,156.0,4.177887,1.6483919999999999
157,157.0,4.140443,1.628409
158,158.0,4.011768,1.572489
159,159.0,4.0022845,1.5775595
160,160.0,3.949392,1.556522
161,161.0,4.058061,1.5924550000000002
162,162.0,4.0022845,1.5775595
163,163.0,3.949392,1.556522
164,164.0,4.0704839999999995,1.59802
165,165.0,4.0022845,1.5775595
166,166.0,3.949392,1.556522
167,167.0,3.9077940000000004,1.546395
168,168.0,3.9208860000000003,1.544877
169,169.0,3.836811,1.520958
170,170.0,3.895562,1.5310755
171,171.0,3.9208860000000003,1.544877
172,172.0,3.836811,1.520958
173,173.0,3.837969,1.513968
174,174.0,3.9208860000000003,1.544877
175,175.0,3.836811,1.520958
176,176.0,3.9741929999999996,1.5637045
177,177.0,3.9116355,1.558797
178,178.0,3.9109800000000003,1.531125
179,179.0,3.7013364999999996,1.4622155
180,180.0,3.9116355,1.558797
181,181.0,3.9109800000000003,1.531125
182,182.0,3.8264205000000002,1.5088005
183,183.0,3.9116355,1.558797
184,184.0,3.9109800000000003,1.531125
185,185.0,3.750324,1.472323
186,186.0,4.069054,1.6127129999999998
187,187.0,4.014098000000001,1.596083
188,188.0,3.815171,1.4859930000000001
189,189.0,4.069054,1.6127129999999998
190,190.0,4.014098000000001,1.596083
191,191.0,3.6002989999999997,1.424579
192,192.0,4.069054,1.6127129999999998
193,193.0,4.014098000000001,1.596083
194,194.0,3.5261,1.3939840000000001
195,195.0,1.8702695,1.4466145
196,196.0,1.8371990000000002,1.448267
197,197.0,3.593952,1.4007889999999998
198,198.0,1.8702695,1.4466145
199,199.0,1.8371990000000002,1.448267
200,200.0,3.596264,1.390744
201,201.0,3.5973029999999997,1.387869
202,202.0,3.596264,1.390744
203,203.0,3.448209,1.361219
204,204.0,3.5973029999999997,1.387869
205,205.0,3.596264,1.390744
206,206.0,3.457023,1.3518649999999999
207,207.0,3.5973029999999997,1.387869
208,208.0,3.596264,1.390744
209,209.0,3.395546,1.329877
210,210.0,3.446894,1.3612250000000001
211,211.0,3.376957,1.3313195
212,212.0,3.4343,1.372954
213,213.0,3.446894,1.3612250000000001
214,214.0,3.376957,1.3313195
215,215.0,3.2975190000000003,1.3118379999999998
216,216.0,3.446894,1.3612250000000001
217,217.0,3.376957,1.3313195
218,218.0,3.3357879999999995,1.329358
219,219.0,3.276982,1.320334
220,220.0,3.3625529999999997,1.336735
221,221.0,3.301267,1.3076615
222,222.0,3.276982,1.320334
223,223.0,3.3625529999999997,1.336735
224,224.0,3.2824940000000002,1.3078105
225,225.0,3.276982,1.320334
226,226.0,3.3625529999999997,1.336735
227,227.0,3.212605,1.296398
228,228.0,3.2236155,1.28971
229,229.0,3.1792540000000002,1.278349
230,230.0,3.2278355000000003,1.307697
231,231.0,3.2236155,1.28971
232,232.0,3.1792540000000002,1.278349
233,233.0,3.207478,1.302605
234,234.0,3.2236155,1.28971
235,235.0,3.1792540000000002,1.278349
236,236.0,3.2189430000000003,1.2975775
237,237.0,3.147574,1.2860925
238,238.0,3.228366,1.298866
239,239.0,3.1038,1.277814
240,240.0,3.147574,1.2860925
241,241.0,3.228366,1.298866
242,242.0,3.1099135,1.2692825
243,243.0,3.147574,1.2860925
244,244.0,3.228366,1.298866
245,245.0,3.062237,1.265087
246,246.0,3.1185029999999996,1.278554
247,247.0,3.088213,1.278678
248,248.0,3.088642,1.2737125
249,249.0,3.1185029999999996,1.278554
250,250.0,3.088213,1.278678
251,251.0,3.002786,1.2639369999999999
252,252.0,3.1185029999999996,1.278554
253,253.0,3.088213,1.278678
254,254.0,3.0544395,1.2814155
255,255.0,2.92417,1.2458719999999999
256,256.0,3.005998,1.253393
257,257.0,3.002036,1.2532370000000002
258,258.0,2.92417,1.2458719999999999
259,259.0,3.005998,1.253393
260,260.0,2.959923,1.2441675
261,261.0,2.92417,1.2458719999999999
262,262.0,3.005998,1.253393
263,263.0,2.869318,1.239084
264,264.0,2.211065,1.392663
265,265.0,3.1294,2.635157
266,266.0,2.903339,1.244653
267,267.0,2.211065,1.392663
268,268.0,3.1294,2.635157
269,269.0,2.948693,1.237252
270,270.0,2.211065,1.392663
271,271.0,3.1294,2.635157
272,272.0,2.873399,1.2303359999999999
273,273.0,2.9224300000000003,1.2531085
274,274.0,2.8483885,2.1712925
275,275.0,2.7782020000000003,1.2356935
276,276.0,2.9224300000000003,1.2531085
277,277.0,2.8483885,2.1712925
278,278.0,2.839728,1.2319440000000002
279,279.0,2.804894,1.229629
280,280.0,2.839728,1.2319440000000002
281,281.0,2.787937,1.2428
282,282.0,2.804894,1.229629
283,283.0,2.839728,1.2319440000000002
284,284.0,2.812753,1.2441300000000002
285,285.0,2.804894,1.229629
286,286.0,2.839728,1.2319440000000002
287,287.0,2.7154730000000002,1.2240355
288,288.0,2.7208959999999998,1.229794
289,289.0,2.7105599999999996,1.230436
290,290.0,2.68497,1.230998
291,291.0,2.7208959999999998,1.229794
292,292.0,2.7105599999999996,1.230436
293,293.0,2.7334650000000003,1.22432
294,294.0,2.7208959999999998,1.229794
295,295.0,2.7105599999999996,1.230436
296,296.0,2.761099,1.233876
297,297.0,2.7438285000000002,1.2394825
298,298.0,2.6922875,1.2466585000000001
299,299.0,2.639539,1.225856
300,300.0,2.7438285000000002,1.2394825
301,301.0,2.6922875,1.2466585000000001
302,302.0,2.629032,1.224572
303,303.0,2.7438285000000002,1.2394825
304,304.0,2.6922875,1.2466585000000001
305,305.0,2.6370885,1.2287325
306,306.0,2.6463270000000003,1.2250245
307,307.0,2.6385985,1.228262
308,308.0,2.663462,1.232019
309,309.0,2.6463270000000003,1.2250245
310,310.0,2.6385985,1.228262
311,311.0,2.5585305,1.2512265
312,312.0,2.6463270000000003,1.2250245
313,313.0,2.6385985,1.228262
314,314.0,2.5261869999999997,1.227925
315,315.0,2.518768,1.228958
316,316.0,2.570231,1.2329729999999999
317,317.0,2.580263,1.256312
318,318.0,2.518768,1.228958
319,319.0,2.570231,1.2329729999999999
320,320.0,2.580981,1.2291860000000001
321,321.0,2.518768,1.228958
322,322.0,2.570231,1.2329729999999999
323,323.0,2.44795,1.2383790000000001
324,324.0,2.4600035,1.2502715
325,325.0,2.487977,1.241207
326,326.0,2.4849195,1.2457099999999999
327,327.0,2.4600035,1.2502715
328,328.0,2.487977,1.241207
329,329.0,2.47586,1.248531
330,330.0,2.4600035,1.2502715
331,331.0,2.487977,1.241207
332,332.0,2.4664504999999997,1.2468605
333,333.0,3.2064364999999997,1.2918984999999998
334,334.0,2.558045,1.223971
335,335.0,2.390848,1.2542464999999998
336,336.0,3.2064364999999997,1.2918984999999998
337,337.0,2.558045,1.223971
338,338.0,2.42808,1.2790805
339,339.0,3.2064364999999997,1.2918984999999998
340,340.0,2.558045,1.223971
341,341.0,2.400616,1.243333
342,342.0,4.271230999999999,3.3995879999999996
343,343.0,2.5164,1.2734385000000001
344,344.0,2.3982395,1.2676735
345,345.0,4.271230999999999,3.3995879999999996
346,346.0,2.5164,1.2734385000000001
347,347.0,2.3465775,1.2750065
348,348.0,4.271230999999999,3.3995879999999996
349,349.0,2.5164,1.2734385000000001
350,350.0,2.328762,1.2685085
351,351.0,2.352201,1.276878
352,352.0,3.8520035,1.978631
353,353.0,2.3717295,1.2608295
354,354.0,2.352201,1.276878
355,355.0,3.8520035,1.978631
356,356.0,2.305974,1.2605845000000002
357,357.0,2.317053,1.256346
358,358.0,2.316671,1.252184
359,359.0,2.274893,1.28777
360,360.0,2.317053,1.256346
361,361.0,2.316671,1.252184
362,362.0,2.250122,1.2627
363,363.0,2.317053,1.256346
364,364.0,2.316671,1.252184
365,365.0,2.287766,1.27586
366,366.0,2.249331,1.306816
367,367.0,2.27835,1.2828389999999998
368,368.0,2.2609424999999996,1.2643965000000001
369,369.0,2.249331,1.306816
370,370.0,2.27835,1.2828389999999998
371,371.0,2.1901025,1.3125845
372,372.0,2.249331,1.306816
373,373.0,2.27835,1.2828389999999998
374,374.0,2.170791,1.30244
375,375.0,2.1801630000000003,1.264224
376,376.0,2.154056,1.283183
377,377.0,2.1664405,1.2932335
378,378.0,2.1801630000000003,1.264224
379,379.0,2.154056,1.283183
380,380.0,2.176844,1.29826
381,381.0,2.1801630000000003,1.264224
382,382.0,2.154056,1.283183
383,383.0,2.1127625,1.3226485
384,384.0,2.0980830000000004,1.331256
385,385.0,2.105439,1.3216895
386,386.0,2.09147,1.335863
387,387.0,2.0980830000000004,1.331256
388,388.0,2.105439,1.3216895
389,389.0,2.1030115,1.3135745
390,390.0,2.0980830000000004,1.331256
391,391.0,2.105439,1.3216895
392,392.0,2.1026385000000003,1.3134445
393,393.0,2.081651,1.324897
394,394.0,2.10568,1.3047105
395,395.0,2.07403,1.33402
396,396.0,2.081651,1.324897
397,397.0,2.10568,1.3047105
398,398.0,2.02506,1.323138
399,399.0,2.081651,1.324897
400,400.0,2.10568,1.3047105
401,401.0,2.07367,1.347785
402,402.0,2.2728384999999998,2.0734795
403,403.0,2.1520599999999996,1.301991
404,404.0,2.0909619999999998,1.306612
405,405.0,2.2728384999999998,2.0734795
406,406.0,2.1520599999999996,1.301991
407,407.0,1.9733990000000001,1.3721225
408,408.0,2.2728384999999998,2.0734795
409,409.0,2.1520599999999996,1.301991
410,410.0,1.9731969999999999,1.3535184999999998
411,411.0,1.971634,1.363982
412,412.0,1.999872,1.373037
413,413.0,1.989464,1.378004
414,414.0,1.971634,1.363982
415,415.0,1.999872,1.373037
416,416.0,1.939923,1.3652959999999998
417,417.0,1.942977,1.3621595
418,418.0,1.9367945,1.3645990000000001
419,419.0,1.929361,1.379726
420,420.0,1.942977,1.3621595
421,421.0,1.9367945,1.3645990000000001
422,422.0,1.927613,1.39
423,423.0,1.942977,1.3621595
424,424.0,1.9367945,1.3645990000000001
